CustomerID,CustomerName,CustomerSurname,CustomerEmail,CustomerPhone,CustomerGeographyID
3060,Emre,Bircan,tytr@gmail.com,75684,26
3069,Merve,Gider,ruytyj@gmail.com,949953,22
3093,Murat,Eren,iklhjk@gmail.com,993407,57
3112,Sefa,Yanal,hgjhgfjhg@gmail.com,352341,44
3344,Dilara,Ziyagil,iky@gmail.com,190877,27
3456,Sefa,Eren,iklhjk@gmail.com,645789,59
3478,Sefa,Bircan,qwe@gmail.com,117763,46
3623,Ali,Yanal,oopop@gmail.com,687128,45
3633,Ahmet,Terim,rtrere@gmail.com,895654,62
3680,Hasan,Unsal,iklhjk@gmail.com,15576,63
3769,Berna,Terim,ruytyj@gmail.com,269991,55
3776,Elif,Karaman,wqerf@gmail.com,526232,50
3964,Merve,Karaman,tytr@gmail.com,176668,45
3976,Mustafa,Albayrak,iklhjk@gmail.com,695805,70
3983,Arif,Terim,try@gmail.com,889996,9
3992,Elif,Derin,try@gmail.com,91490,44
3995,Emre,Albayrak,oopop@gmail.com,236488,48
4058,Kemal,Bayrak,iky@gmail.com,331147,38
4070,Mehmet,Bayrak,weqrqw@gmail.com,480317,44
4177,Sinem,Duran,tdyuij@gmail.com,409719,6
4222,Sefa,Karaman,dsafdsf@gmail.com,895335,4
4283,Murat,Duran,try@gmail.com,51578,50
4388,Elif,Temel,try@gmail.com,500349,31
4525,Erkan,Yanal,werw@gmail.com,737859,24
4570,Hasan,Bayrak,frstyh@gmail.com,110778,62
4640,Emre,Yanal,weqrqw@gmail.com,438925,54
4839,Ahmet,Bircan,frstyh@gmail.com,856933,39
4933,Merve,Albayrak,weqrqw@gmail.com,213743,36
5016,Berna,Konak,try@gmail.com,240382,26
5019,Elif,Duran,oopop@gmail.com,82387,27
5054,Sefa,Bircan,dsafdsf@gmail.com,859660,60
5092,Merve,Bayrak,tytr@gmail.com,702789,20
5112,Elif,Ziyagil,iklhjk@gmail.com,816994,38
5128,Murat,Albayrak,iky@gmail.com,390225,7
5191,Emre,Bayrak,hgjhgfjhg@gmail.com,878509,74
5279,Kemal,Tatar,rtrere@gmail.com,344209,52
5463,Arif,Ziyagil,tdyuij@gmail.com,186854,36
5547,Dilara,Karaman,tytr@gmail.com,243520,62
5629,Ali,Terim,hgjhgfjhg@gmail.com,457064,20
5735,Merve,Han,rtrere@gmail.com,448339,64
5834,Mehmet,Tatar,wqerf@gmail.com,322205,23
5903,Hasan,Albayrak,oopop@gmail.com,834037,4
5907,Erkan,Albayrak,oopop@gmail.com,734471,71
5937,Elif,Albayrak,dsafdsf@gmail.com,154978,69
5976,Ali,Terim,frstyh@gmail.com,596880,22
6013,Emre,Duran,hgjhgfjhg@gmail.com,407248,57
6049,Mehmet,Gider,weqrqw@gmail.com,344005,52
6167,Sefa,Gider,ruytyj@gmail.com,250052,13
6431,Sefa,Temel,iklhjk@gmail.com,464894,81
6495,Sefa,Karaman,rtrere@gmail.com,637996,41
6500,Kemal,Eren,iky@gmail.com,735212,38
6539,Elif,Terim,rtrere@gmail.com,94232,7
6568,Mehmet,Bircan,werw@gmail.com,634038,55
6575,Elif,Terim,qwe@gmail.com,741985,6
6590,Ali,Karaman,weqrqw@gmail.com,612099,24
6591,Hasan,Unsal,oopop@gmail.com,116432,42
6619,Mustafa,Han,try@gmail.com,943746,66
6752,Berna,Derin,wqerf@gmail.com,832252,5
6866,Dilara,Bircan,tytr@gmail.com,918404,46
6876,Mehmet,Derin,hgjhgfjhg@gmail.com,866170,3
6884,Hasan,Derin,tdyuij@gmail.com,492699,3
6942,Hasan,Ziyagil,iky@gmail.com,866341,28
7091,Dilara,Albayrak,qwe@gmail.com,47766,61
7144,Murat,Temel,hgjhgfjhg@gmail.com,20771,48
7161,Ahmet,Konak,frstyh@gmail.com,520090,80
7170,Ahmet,Unsal,frstyh@gmail.com,510326,58
7206,Arif,Han,werw@gmail.com,740605,18
7508,Sefa,Bayrak,oopop@gmail.com,532934,38
7522,Emre,Ziyagil,iklhjk@gmail.com,381102,40
7536,Merve,Duran,oopop@gmail.com,867375,22
7555,Elif,Ziyagil,iky@gmail.com,968751,38
7565,Ahmet,Ziyagil,frstyh@gmail.com,178941,43
7759,Mehmet,Han,oopop@gmail.com,736380,38
7844,Merve,Tatar,iky@gmail.com,216871,70
7854,Sefa,Karaman,try@gmail.com,245195,4
8015,Emre,Ziyagil,iky@gmail.com,319896,80
8087,Erkan,Ziyagil,hgjhgfjhg@gmail.com,246811,20
8103,Arif,Yanal,werw@gmail.com,624602,20
8187,Dilara,Konak,dsafdsf@gmail.com,998218,68
8206,Sinem,Konak,ruytyj@gmail.com,980614,35
8331,Murat,Temel,dsafdsf@gmail.com,472871,48
8525,Dilara,Bayrak,wqerf@gmail.com,967033,78
8605,Hasan,Temel,tdyuij@gmail.com,364962,21
8640,Emre,Duran,try@gmail.com,505583,16
8689,Ali,Yanal,weqrqw@gmail.com,734411,53
8736,Dilara,Temel,iklhjk@gmail.com,39463,5
8846,Elif,Duran,tdyuij@gmail.com,238621,77
8994,Mehmet,Temel,wqerf@gmail.com,383351,35
9050,Kemal,Albayrak,tytr@gmail.com,220258,31
9139,Mustafa,Duran,weqrqw@gmail.com,644540,69
9142,Mustafa,Bayrak,tytr@gmail.com,82864,73
9189,Sefa,Duran,dsafdsf@gmail.com,729268,72
9211,Dilara,Gider,iklhjk@gmail.com,786100,1
9254,Merve,Temel,werw@gmail.com,971349,25
9269,Emre,Ziyagil,frstyh@gmail.com,655700,77
9339,Merve,Bayrak,qwe@gmail.com,435097,77
9457,Dilara,Karaman,werw@gmail.com,702476,38
9490,Sinem,Bayrak,iklhjk@gmail.com,478549,81
9510,Mustafa,Ziyagil,try@gmail.com,4437,30
9709,Ahmet,Konak,wqerf@gmail.com,680171,54
9747,Emre,Han,hgjhgfjhg@gmail.com,983574,17
9791,Ahmet,Han,rtrere@gmail.com,190342,72
9795,Mehmet,Derin,try@gmail.com,244523,46
9827,Mustafa,Tatar,try@gmail.com,746629,38
9836,Ali,Han,hgjhgfjhg@gmail.com,945775,55
9876,Erkan,Yanal,wqerf@gmail.com,949146,38
9923,Sinem,Ziyagil,try@gmail.com,811934,37
9944,Dilara,Ziyagil,tdyuij@gmail.com,786738,7
9969,Mehmet,Karaman,werw@gmail.com,19497,80
9970,Elif,Unsal,rtrere@gmail.com,654932,60
